ANO,UF,Y,PEC,PGC,QE,TxF,D1,D2
2013,RJ,"38378,59",3.33331409476489,4.37081900147693,583075,3024974,0,0
2014,RJ,"40767,26",3.39568625051595,4.33516906472654,590305,3274227,0,0
2015,RJ,39827,3.53372201261534,4.59019046143825,664315,3198594,0,0
2016,RJ,"38494,91",3.80860449383923,4.60457347713473,480808,3021469,0,0
2017,RJ,"40170,31",3.85183463192884,4.77924518298274,473763,2854479,1,0
2018,RJ,"44222,66",3.89038696339499,5.33471370684879,746351,2524049,1,0
2019,RJ,"45174,08",3.96626933143134,5.03515827815173,796981,2591066,1,0
2010,SP,"31384,93",2.71545050877194,4.38510712949602,8374257,13298216,0,1
2011,SP,"34546,05",3.05711045400441,4.33059273143063,6490307,14005091,0,1
2012,SP,"37207,35",2.79671711369515,4.08144085366111,5834460,14389966,0,1
2013,SP,"39282,97",2.6692196054546,3.98768707829414,6656753,15136549,0,1
2014,SP,"42197,87",2.66244419313909,3.96553167593182,7576593,16153401,0,1
2015,SP,43695,2.71531847414809,4.12265709379365,9456061,16055976,0,1
2016,SP,"45559,13",2.92075949313462,4.11242627906982,8356469,15840045,0,1
2017,SP,"47028,89",2.92412421857293,4.16384793675231,7688115,15853794,1,1
2018,SP,"48542,24",2.98962903790129,4.60915193840003,9956761,15395425,1,1
2019,SP,"51140,82",2.80962903810501,4.2883687351495,11673779,16119337,1,1
2010,PR,"21572,21",2.89915695152851,4.50413279443777,1347001,2828566,0,1
2011,PR,"24459,07",3.2210602587194,4.38982276535014,811372,2970965,0,1
2012,PR,"27001,97",3.00959586805253,4.15652383539028,814624,3341509,0,1
2013,PR,"30323,46",2.84053241439697,4.13781960154582,1128902,3542934,0,1
2014,PR,"31410,74",2.82365400540622,4.08681819833954,1235721,3751679,0,1
2015,PR,33769,2.91576634558599,4.2596601040972,1690432,3774482,0,1
2016,PR,"35739,94",3.1698281542759,4.26820968507788,1245240,3753241,0,1
2017,PR,"37231,86",3.20318948026073,4.29900341233525,1067031,3812292,1,1
2018,PR,"38772,74",3.24613586322281,4.69770879498349,1566082,3632032,1,1
2019,PR,"40788,77",3.03618089766874,4.3265790418153,1776444,3758473,1,1
2010,SC,"24597,41",3.49116013388658,4.58913992051419,290593,1990600,0,0
2011,SC,"27555,3",3.83771971025158,4.46613456564232,123082,2094811,0,0
2012,SC,"30046,38",3.69057570100067,4.21067640932142,94663,2291724,0,0
2013,SC,"32334,04",3.50629697409041,4.1540102469385,110496,2441426,0,0
2014,SC,"36055,9",3.44984335403231,4.09191070995137,107772,2646904,0,0
2015,SC,36526,3.37444832106268,4.21665915908494,157133,2670623,0,0
2016,SC,37154,3.6644214288969,4.13369810017133,74866,2753179,0,0
2017,SC,"39603,47",3.7684538410396,4.25367584663639,67385,2854186,1,0
2018,SC,"42149,3",3.82943699484378,4.51060007420288,96305,2817626,1,0
2019,SC,"45118,41",3.68388090070069,4.22693736756079,81555,2942407,1,0
2010,RS,"22556,07",3.58368681041079,4.63298378961754,240893,2751529,0,0
2011,RS,"24695,4",3.88411191908764,4.51460543199025,137122,2909743,0,0
2012,RS,"26701,11",3.71896525871144,4.27019603841372,115216,3162138,0,0
2013,RS,"29764,55",3.54027351179691,4.18048704153796,111450,3375211,0,0
2014,RS,"31927,16",3.43654398018694,4.09806318522744,114073,3632463,0,0
2015,RS,33961,3.47211247887617,4.34446751433376,167632,3612081,0,0
2016,RS,"36219,34",4.15660899886914,4.55285962502803,68923,3511602,0,0
2017,RS,"37381,79",4.22140100058269,4.55234693012624,54731,3632567,1,0
2018,RS,"40362,75",4.40367434454048,5.04121128838756,69212,3509449,1,0
2019,RS,"42406,09",4.20933263351168,4.68021948329271,53036,3590606,1,0
2010,MS,"19299,34",3.25257555334137,4.71433127613914,168272,569062,0,1
2011,MS,"22253,17",3.41058739555733,4.47338878334398,105792,626119,0,1
2012,MS,"24754,9",3.30098526672949,4.30127379744933,90759,706786,0,1
2013,MS,"26747,59",3.14713629880133,4.37442362129998,130868,762724,0,1
2014,MS,"30137,58",3.03259987253133,4.25771070403327,156078,826995,0,1
2015,MS,31337,3.06432550301388,4.33835694336318,231696,825941,0,1
2016,MS,"34257,67",3.33579695941382,4.12973809217035,116194,823208,0,1
2017,MS,"35529,38",3.57089732866919,4.30213007652731,91063,830367,1,1
2018,MS,"38925,85",3.67529901154685,4.66614356694656,133380,806053,1,1
2019,MS,"38482,83",3.53314005214615,4.29306733308069,108583,844156,1,1
2010,MT,"18655,61",3.04193689750532,4.93460283127825,416311,685224,0,1
2011,MT,"22482,25",3.21043574084605,4.74071503353517,338645,725459,0,1
2012,MT,"25572,1",3.07395198864986,4.59719400246134,371859,853313,0,1
2013,MT,"28035,75",2.89052125841516,4.40059329940766,488525,928910,0,1
2014,MT,"31396,81",2.89637740824421,4.30298786869327,514045,1022240,0,1
2015,MT,32895,2.71572608355379,4.38124382662649,699299,1055022,0,1
2016,MT,"37476,67",3.03492930482998,4.37172320165725,599950,1036519,0,1
2017,MT,"37926,22",2.87462947381893,4.42899554538255,674442,1095933,1,1
2018,MT,"39931,13",2.98906987767024,4.94889274597399,840623,1110293,1,1
2019,MT,"40787,32",2.70448368029912,4.66252574455909,1000071,1175358,1,1
2010,GO,"17783,03",2.85128647633574,4.54791225170973,851077,1679261,0,1
2011,GO,"19947,77",3.23326119541928,4.6687724091601,705069,1750105,0,1
2012,GO,"22543,93",2.93822249347763,4.28413702909227,688743,1928329,0,1
2013,GO,"23515,55",2.8486017982567,4.22117747072216,852547,2126413,0,1
2014,GO,"25296,6",2.95834598525277,4.29019158207989,926226,2288247,0,1
2015,GO,26265,2.96230475675892,4.41129683604812,1240762,2338414,0,1
2016,GO,"27145,09",3.26091323872903,4.4767698495493,1058503,2272041,0,1
2017,GO,"28316,09",3.24441083254602,4.56483992137521,1021975,2274582,1,1
2018,GO,"28272,96",3.23470222750393,5.06377893604384,1516565,2284666,1,1
2019,GO,"29732,4",3.08885680319798,4.68868125842069,1752876,2368145,1,1
